RUNNER,AGE,GENDER,EVENT COUNT
878,N/A,N/A,3
879,N/A,N/A,0
880,N/A,N/A,0
881,N/A,N/A,0
882,N/A,N/A,4
883,N/A,N/A,1
884,N/A,N/A,1
885,N/A,N/A,4
886,N/A,N/A,6
887,N/A,N/A,0
888,N/A,N/A,1
889,N/A,N/A,0
890,N/A,N/A,0
891,N/A,N/A,0
892,N/A,N/A,1
893,N/A,N/A,1
894,N/A,N/A,3
895,N/A,N/A,0
896,N/A,N/A,2
897,N/A,N/A,1
898,N/A,N/A,10
899,N/A,N/A,3
900,N/A,N/A,3
901,N/A,N/A,0
902,N/A,N/A,0
903,N/A,N/A,2
904,N/A,N/A,1
905,N/A,N/A,1
906,N/A,N/A,1
907,N/A,N/A,1
908,N/A,N/A,3
909,N/A,N/A,1
910,N/A,N/A,0
911,N/A,N/A,0
912,N/A,N/A,0
913,N/A,N/A,0
914,N/A,N/A,0
915,N/A,N/A,0
916,N/A,N/A,0
917,N/A,N/A,3
918,N/A,N/A,6
919,N/A,N/A,3
920,N/A,N/A,4
921,N/A,N/A,1
922,N/A,N/A,0
923,N/A,N/A,0
924,N/A,N/A,4
925,N/A,N/A,0
926,N/A,N/A,14
927,N/A,N/A,6
928,N/A,N/A,10
929,N/A,N/A,0
930,N/A,N/A,0
931,N/A,N/A,1
932,N/A,N/A,2
933,N/A,N/A,15
934,N/A,N/A,0
935,N/A,N/A,0
936,N/A,N/A,8
937,N/A,N/A,0
938,N/A,N/A,0
939,N/A,N/A,1
940,N/A,N/A,1
941,N/A,N/A,6
942,N/A,N/A,0
943,N/A,N/A,0
944,N/A,N/A,0
945,N/A,N/A,0
946,N/A,N/A,0
947,N/A,N/A,1
948,N/A,N/A,0
949,N/A,N/A,0
950,N/A,N/A,4
951,N/A,N/A,0
952,N/A,N/A,1
953,N/A,N/A,4
954,N/A,N/A,0
955,N/A,N/A,0
956,N/A,N/A,3
957,N/A,N/A,9
958,N/A,N/A,0
959,N/A,N/A,0
960,N/A,N/A,1
961,N/A,N/A,1
962,N/A,N/A,0
963,N/A,N/A,0
964,N/A,N/A,2
965,N/A,N/A,4
966,N/A,N/A,7
967,N/A,N/A,3
968,N/A,N/A,0
969,N/A,N/A,0
970,N/A,N/A,0
971,N/A,N/A,1
972,N/A,N/A,2
973,N/A,N/A,2
974,N/A,N/A,1
975,N/A,N/A,1
976,N/A,N/A,3
977,N/A,N/A,9
978,N/A,N/A,0
979,N/A,N/A,0
980,N/A,N/A,0
981,N/A,N/A,2
982,N/A,N/A,3
983,N/A,N/A,0
984,N/A,N/A,7
985,N/A,N/A,1
986,N/A,N/A,1
987,N/A,N/A,1
988,N/A,N/A,2
989,N/A,N/A,2
990,N/A,N/A,1
991,N/A,N/A,6
992,N/A,N/A,2
993,N/A,N/A,1
994,N/A,N/A,0
995,N/A,N/A,0
996,N/A,N/A,2
997,N/A,N/A,0
998,N/A,N/A,1
999,N/A,N/A,1
1000,N/A,N/A,2
1001,N/A,N/A,1
1002,N/A,N/A,1
1003,N/A,N/A,5
1004,N/A,N/A,37
1005,N/A,N/A,0
1006,N/A,N/A,1
1007,N/A,N/A,6
1008,N/A,N/A,0
1009,N/A,N/A,12
1010,N/A,N/A,0
1011,N/A,N/A,3
1012,N/A,N/A,0
1013,N/A,N/A,3
1014,N/A,N/A,3
1015,N/A,N/A,0
1016,N/A,N/A,1
1017,N/A,N/A,3
1018,N/A,N/A,1
1019,N/A,N/A,2
1020,N/A,N/A,7
1021,N/A,N/A,1
1022,N/A,N/A,1
1023,N/A,N/A,0
1024,N/A,N/A,10
1025,N/A,N/A,0
1026,N/A,N/A,9
1027,N/A,N/A,4
1028,N/A,N/A,11
1029,N/A,N/A,0
1030,N/A,N/A,3
1031,N/A,N/A,1
1032,N/A,N/A,1
1033,N/A,N/A,1
1034,N/A,N/A,0
1035,N/A,N/A,0
1036,N/A,N/A,2
1037,N/A,N/A,1
1038,N/A,N/A,1
1039,N/A,N/A,0
1040,N/A,N/A,0
1041,N/A,N/A,6
1042,N/A,N/A,1
1043,N/A,N/A,0
1044,N/A,N/A,0
1045,N/A,N/A,2
1046,N/A,N/A,1
1047,N/A,N/A,1
1048,N/A,N/A,5
1049,N/A,N/A,3
1050,N/A,N/A,2
1051,N/A,N/A,0
1052,N/A,N/A,1
1053,N/A,N/A,7
1054,N/A,N/A,0
1055,N/A,N/A,0
1056,N/A,N/A,0
1057,N/A,N/A,0
1058,N/A,N/A,1
1059,N/A,N/A,0
1060,N/A,N/A,0
1061,N/A,N/A,0
1062,N/A,N/A,1
1063,N/A,N/A,0
1064,N/A,N/A,0
1065,N/A,N/A,1
1066,N/A,N/A,2
1067,N/A,N/A,1
1068,N/A,N/A,1
1069,N/A,N/A,1
1070,N/A,N/A,0
1071,N/A,N/A,0
1072,N/A,N/A,1
1073,N/A,N/A,0
1074,N/A,N/A,0
1075,N/A,N/A,4
1076,N/A,N/A,2
1077,N/A,N/A,5
1078,N/A,N/A,1
1079,N/A,N/A,4
1080,N/A,N/A,18
1081,N/A,N/A,0
1082,N/A,N/A,3
1083,N/A,N/A,0
1084,N/A,N/A,0
1085,N/A,N/A,1
1086,N/A,N/A,1
1087,N/A,N/A,4
1088,N/A,N/A,1
1089,N/A,N/A,1
1090,N/A,N/A,1
1091,N/A,N/A,0
1092,N/A,N/A,0
1093,N/A,N/A,1
1094,N/A,N/A,0
1095,N/A,N/A,0
1096,N/A,N/A,1
1097,N/A,N/A,1
1098,N/A,N/A,0
1099,N/A,N/A,7
1100,N/A,N/A,0
1101,N/A,N/A,3
1102,N/A,N/A,5
1103,N/A,N/A,0
1104,N/A,N/A,0
1105,N/A,N/A,1
1106,N/A,N/A,7
1107,N/A,N/A,1
1108,N/A,N/A,2
1109,N/A,N/A,0
1110,N/A,N/A,1
1111,N/A,N/A,1
1112,N/A,N/A,5
1113,N/A,N/A,2
1114,N/A,N/A,0
1115,N/A,N/A,1
1116,N/A,N/A,5
1117,N/A,N/A,0
1118,N/A,N/A,2
