RUNNER,NAME,TYPE,DATE,DISTANCE,CATEGORY
5814,Gatineau Loppet,51km patin/skmate,2013-02-17,51.0,M40-44
5814,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M40-44
5814,Tour du Mont-Valin,45km style libre,2012-03-17,45.0,M40-49
5814,Gatineau Loppet - Keskinada,16km classique,2012-02-18,16.0,M40-44
5814,Le Norvegien - Coupe des maitres Jour 2,jour 2   22km patin/style libre,2012-01-29,-1,M40-49
5814,Le Norvegien - Coupe des maitres Jour 2,coupe des maitres   poursuite finale,2012-01-29,-1,M40-49
5814,Le Norvegien - Coupe des Maitres Jour 1,jour 1   20km classique,2012-01-28,-1,M40-49
7700,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,M25-29
7700,Marathon Oasis de Montreal,half marathon,2012-09-23,21.0975,M18-24
6066,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,F60-64
6066,Demi Marathon Hypothermique,half marathon,2014-02-16,21.0975,F60-69
6066,La Foulee des Parcs,10km,2013-06-16,10.0,F50-59
6066,Demi Marathon Hypothermique,half marathon,2013-02-17,21.0975,F60-69
169,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,M25-29
3250,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,M25-29
6830,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,M35-39
6830,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M30-34
1649,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,F45-49
223,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,M30-34
2400,Challenge O2 Merrell,triathlon sprint,2014-07-13,-1,M40-44
2400,Duathlon Sorel-Tracy,duathlon   competitif,2014-05-18,-1,M40-49
1524,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,M25-29
1524,Marathon Oasis de Montreal,half marathon,2013-09-22,21.0975,M25-29
7489,Vert le Raid - Demi-Marathon de l'Isle-aux-Coudres,23.5km the north face,2014-08-02,23.5,M30-49
7489,Vert le Raid - Quebec Mega Trail,25km skmyrace®,2014-07-12,25.0,M40-49
7489,Tour du Cap Tourmente,half marathon,2014-06-07,21.0975,M40-49
7489,Ultra-Trail Harricana de Charlevoix,28km,2013-09-07,28.0,M40-49
7489,Vert le Raid - Demi-Marathon de l'Isle-aux-Coudres,23km,2013-08-03,23.0,M40-49
7489,Vert le Raid - Quebec Mega Trail,25km,2013-07-13,25.0,M40-49
7489,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M40-44
8654,Duathlon Sorel-Tracy,duathlon   competitif,2014-05-18,-1,M40-49
8654,Banque Scotia 21km et 5km,21km,2014-04-27,21.0,M35-39
8654,Ottawa Race Weekend,ottawa marathon,2013-05-26,-1,M35-39
8654,Banque Scotia 21km et 5km,21km,2013-04-28,21.0,M35-39
8654,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M35-39
8654,Banque Scotia 21km et 5km,21,1km,2012-04-29,-1,M35-39
513,Triathlon / Duathlon Mont-Tremblant,ironman 5150  triathlon olympic,2014-06-08,-1,M30-39
513,Marathon Oasis de Montreal,half marathon,2013-09-22,21.0975,M35-39
3511,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,F35-39
6854,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,F50-54
626,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,M35-39
4,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,F30-34
7760,Trail du coureur des bois de Duchesnay,petit trail oasis   8km,2014-05-19,-1,M30-39
7760,Marathon des Deux Rives Lévis-Québec,marathon,2013-08-25,42.195,M30-39
7528,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,M18-24
7528,Tour du Lac Brome,20km route,2013-06-16,20.0,M19-
7528,La Grande Viree des Sentiers St-Bruno,10km,2013-06-09,10.0,M-JUN
7528,Course et marche populaires de LaSalle,10km,2013-03-24,10.0,M16-17
3482,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,F30-34
3482,Tamarack Ottawa Race Weekend,scotiabankm ottawa half marathon,2014-05-25,-1,F30-34
3482,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,F30-34
3482,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,F30-34
6415,Triathlon Charlevoix,mini triathlon,2014-07-27,-1,FEMALE
1145,Marathon Oasis Rock ‘n’ Roll de Montréal,5km sports experts,2014-09-28,5.0,M45-49
1145,Army Run - Course de l'Armée,half marathon   half marathon,2014-09-21,-1,M45-49
1145,La Grande Viree des Sentiers St-Bruno,5km,2014-06-08,5.0,M40-49
1145,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,M45-49
1145,Banque Scotia 21km et 5km,21km,2013-04-28,21.0,M45-49
1145,Marathon Oasis de Montreal,half marathon,2012-09-23,21.0975,M45-49
1145,Banque Scotia 21km et 5km,21,1km,2012-04-29,-1,M45-49
319,Marathon Oasis de Montreal,marathon,2013-09-22,42.195,M40-44
319,Ottawa Race Weekend,ottawa half marathon   half marathon,2013-05-26,-1,M40-44
319,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M40-44
319,Tour du Lac Brome,20km route,2012-06-17,20.0,M40-49
2175,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M18-24
2175,Demi-Marathon Marcel Jobin,21km,2012-07-14,21.0,M20-29
5097,Marathon Oasis de Montreal,marathon,2012-09-23,42.195,M60-64
7857,Marathon Oasis Rock ‘n’ Roll de Montréal,marathon,2014-09-28,42.195,M40-44
7857,Banque Scotia 21km et 5km,21km,2014-04-27,21.0,M40-44
