RUNNER,GENDER,AGE,RAN 2011,RAN 2012,RAN 2013,RAN 2014,RAN 2015,EVENT COUNT,AVG_DIST,RUN_RATIO,TIME_WEIGHT,TOTAL DISTANCE,PERFORMANCE,AVG SPEED
3601,M,51,0,1,1,0,1,3,12.0325,1.0,2.66666666667,78.2925,2350.52253125,3.23628365496
6930,M,39,0,0,1,1,0,9,20.7316666667,0.333333333333,1.77777777778,56.195,1986.418025,1.04776346642
2016,F,33,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.32530585253
6452,M,25,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,2.74742805053
6614,M,61,0,0,1,0,1,1,10.0,1.0,2.0,52.195,1880.418025,2.90389001762
1898,F,33,0,1,1,0,0,2,42.195,1.0,2.5,84.39,3560.83605,3.02094317847
1181,M,50,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,2.48191282866
2631,M,45,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,3.62593451921
3461,M,39,0,1,1,1,1,12,30.2689285714,0.583333333333,1.75,221.8825,7391.19858125,2.0003078192
6231,M,38,0,0,1,1,1,2,31.64625,1.0,1.5,105.4875,4005.94055625,1.81107754343
8181,M,24,0,1,1,0,0,2,42.195,1.0,2.5,84.39,3560.83605,2.54980197963
5070,F,40,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,2.62995512341
2284,F,29,0,1,1,1,0,4,26.371875,1.0,2.25,105.4875,3115.73154375,3.21397029176
1503,M,38,0,0,0,1,0,2,31.0975,1.0,1.0,62.195,2180.418025,4.72993319656
404,M,44,0,1,1,1,0,3,28.13,1.0,2.0,84.39,2670.6270375,3.3174915705
4657,F,43,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,1.90867146153
2428,M,36,0,0,1,1,1,9,23.0872222222,1.0,1.44444444444,300.18,7833.934075,2.54326810274
5379,M,41,0,1,0,0,0,1,42.195,1.0,3.0,42.195,1780.418025,3.51859573049
3841,F,36,0,1,1,1,1,6,32.58125,1.0,2.16666666667,225.4875,7605.94055625,3.06866301697
5696,M,38,0,0,1,1,1,9,29.0975,0.555555555556,1.22222222222,196.78,7243.4630875,0.697315572777
4827,F,53,0,0,0,1,0,1,42.195,1.0,1.0,42.195,1780.418025,2.23869906621
7917,M,42,0,1,1,1,1,4,21.0975,1.0,2.0,126.585,3560.83605,3.49766674208
2091,M,39,0,0,1,1,0,2,31.5975,1.0,1.5,63.195,2221.418025,3.82113989198
3944,M,40,0,1,1,1,1,6,25.317,0.833333333333,2.33333333333,144.6825,4008.94055625,2.01949277805
1080,M,32,0,1,1,1,1,18,18.4525,0.722222222222,2.22222222222,238.8825,6347.56956875,1.44677437597
2877,M,50,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,3.24053452116
7763,F,24,0,0,1,1,0,2,26.0975,1.0,1.5,52.195,1880.418025,3.19897501847
1046,M,50,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,2.73691379646
541,M,60,0,0,1,0,0,1,42.195,1.0,2.0,42.195,1780.418025,3.3065590471
7440,M,35,0,0,1,0,0,2,31.64625,1.0,2.0,63.2925,2225.52253125,2.72472144189
8183,F,50,0,0,1,1,1,4,32.75,1.0,1.5,141.0,12361.0,2.94888509645
